,open,close,high,low,total_turnover,volume,open_interest,basis_spread,limit_up,limit_down,trading_date
2017-1-16 21:01,3285,3255,3285,3255,1043400,32,32,,3756,2833,2017-1-17
2017-1-16 21:02,3242,3260,3260,3241,390160,12,42,,3756,2833,2017-1-17
2017-1-16 21:03,3250,3247,3250,3247,324820,10,52,,3756,2833,2017-1-17
2017-1-16 21:04,3248,3248,3250,3245,259820,8,58,,3756,2833,2017-1-17
2017-1-16 21:05,3244,3246,3246,3244,194700,6,60,,3756,2833,2017-1-17
2017-1-16 21:06,3255,3255,3255,3255,65100,2,62,,3756,2833,2017-1-17
2017-1-16 21:07,3253,3247,3253,3247,130000,4,64,,3756,2833,2017-1-17
2017-1-16 21:08,3247,3244,3247,3244,714020,22,86,,3756,2833,2017-1-17
2017-1-16 21:09,3242,3248,3248,3242,3050120,94,156,,3756,2833,2017-1-17
2017-1-16 21:10,3243,3243,3243,3243,583740,18,174,,3756,2833,2017-1-17
2017-1-16 21:11,3243,3241,3243,3241,324260,10,174,,3756,2833,2017-1-17
2017-1-16 21:12,3244,3244,3244,3244,454160,14,188,,3756,2833,2017-1-17
2017-1-16 21:13,3244,3242,3245,3242,583900,18,204,,3756,2833,2017-1-17
2017-1-16 21:14,3245,3245,3245,3244,713880,22,224,,3756,2833,2017-1-17
2017-1-16 21:15,3245,3245,3245,3245,324500,10,234,,3756,2833,2017-1-17
2017-1-16 21:16,3245,3245,3245,3245,0,0,234,,3756,2833,2017-1-17
2017-1-16 21:17,3245,3245,3245,3245,64900,2,236,,3756,2833,2017-1-17
2017-1-16 21:18,3245,3245,3245,3245,0,0,236,,3756,2833,2017-1-17
2017-1-16 21:19,3245,3245,3245,3245,0,0,236,,3756,2833,2017-1-17
2017-1-16 21:20,3246,3247,3247,3246,1039020,32,266,,3756,2833,2017-1-17
2017-1-16 21:21,3248,3246,3248,3246,1038940,32,284,,3756,2833,2017-1-17
2017-1-16 21:22,3247,3247,3247,3246,454500,14,290,,3756,2833,2017-1-17
2017-1-16 21:23,3247,3245,3247,3245,843740,26,292,,3756,2833,2017-1-17
