,open,close,high,low,total_turnover,volume,settlement,prev_settlement,open_interest,basis_spread,limit_up,limit_down
2017-01-17,3285.0,3165.0,3285.0,3123.0,109439660.0,3418.0,3201.0,3295.0,2196.0,,3756.0,2833.0
2017-01-18,3180.0,3160.0,3214.0,3137.0,70458880.0,2228.0,3162.0,3201.0,2784.0,,3425.0,2976.0
2017-01-19,3168.0,3142.0,3182.0,3121.0,44821840.0,1424.0,3147.0,3162.0,3114.0,,3383.0,2940.0
2017-01-20,3150.0,3092.0,3179.0,3081.0,86444520.0,2760.0,3132.0,3147.0,4228.0,,3367.0,2926.0
2017-01-23,3092.0,3075.0,3109.0,3051.0,65629440.0,2132.0,3078.0,3132.0,4314.0,,3351.0,2912.0
2017-01-24,3079.0,3165.0,3200.0,3075.0,148113080.0,4704.0,3148.0,3078.0,5150.0,,3293.0,2862.0
2017-01-25,3171.0,3150.0,3176.0,3120.0,61336540.0,1946.0,3151.0,3148.0,5552.0,,3368.0,2927.0
2017-01-26,3149.0,3215.0,3220.0,3149.0,82977080.0,2604.0,3186.0,3151.0,5378.0,,3403.0,2898.0
2017-02-03,3215.0,3050.0,3216.0,2950.0,157605480.0,5126.0,3074.0,3186.0,6342.0,,3440.0,2931.0
2017-02-06,3030.0,3002.0,3052.0,2985.0,148736020.0,4940.0,3010.0,3074.0,8526.0,,3289.0,2858.0
2017-02-07,3002.0,3041.0,3055.0,2986.0,146229540.0,4838.0,3022.0,3010.0,9048.0,,3220.0,2799.0
2017-02-08,3033.0,3103.0,3108.0,3025.0,193037920.0,6282.0,3072.0,3022.0,10034.0,,3233.0,2810.0
2017-02-09,3104.0,3081.0,3128.0,3080.0,155685460.0,5014.0,3105.0,3072.0,10642.0,,3287.0,2856.0
2017-02-10,3081.0,3191.0,3235.0,3000.0,239974920.0,7628.0,3145.0,3105.0,10208.0,,3322.0,2887.0
2017-02-13,3181.0,3291.0,3299.0,3181.0,336616700.0,10308.0,3265.0,3145.0,11292.0,,3365.0,2924.0
2017-02-14,3292.0,3283.0,3315.0,3234.0,364115760.0,11130.0,3271.0,3265.0,14148.0,,3493.0,3036.0
2017-02-15,3288.0,3235.0,3296.0,3215.0,385574300.0,11852.0,3253.0,3271.0,16980.0,,3499.0,3042.0
2017-02-16,3233.0,3218.0,3310.0,3203.0,527571320.0,16222.0,3252.0,3253.0,20476.0,,3480.0,3025.0
2017-02-17,3217.0,3258.0,3276.0,3216.0,323332680.0,9932.0,3255.0,3252.0,21362.0,,3479.0,3024.0
2017-02-20,3251.0,3297.0,3307.0,3246.0,380458480.0,11586.0,3283.0,3255.0,22390.0,,3482.0,3027.0
