,symbol,exchange,vtSymbol,name,type
1,zn1907,SHFE,zn1907,锌1907,zn
17,wr1907,SHFE,wr1907,线材1907,wr
33,sn1907,SHFE,sn1907,锡1907,sn
49,ru1907,SHFE,ru1907,天然橡胶1907,ru
63,rb1907,SHFE,rb1907,螺纹钢1907,rb
79,pb1907,SHFE,pb1907,铅1907,pb
95,ni1907,SHFE,ni1907,镍1907,ni
111,hc1907,SHFE,hc1907,热轧板1907,hc
127,fu1908,SHFE,fu1908,燃料油1908,fu
144,cu1907,SHFE,cu1907,铜1907,cu
160,bu2006,SHFE,bu2006,沥青2006,bu
176,au1908,SHFE,au1908,黄金1908,au
188,al1907,SHFE,al1907,铝1907,al
204,ag1907,SHFE,ag1907,白银1907,ag
220,sc2106,INE,sc2106,原油2106,sc
244,y1907,DCE,y1907,豆油1907,y
254,v1907,DCE,v1907,聚氯乙烯1907,v
269,pp1907,DCE,pp1907,聚丙烯1907,pp
284,p1907,DCE,p1907,棕榈油1907,p
299,m1907,DCE,m1907,豆粕1907,m
641,l1907,DCE,l1907,聚乙烯1907,l
656,jm1907,DCE,jm1907,焦煤1907,jm
671,jd1907,DCE,jd1907,鲜鸡蛋1907,jd
686,j1907,DCE,j1907,焦炭1907,j
701,i1907,DCE,i1907,铁矿石1907,i
716,fb1907,DCE,fb1907,纤维板1907,fb
731,cs1907,DCE,cs1907,玉米淀粉1907,cs
739,c1907,DCE,c1907,黄玉米1907,c
747,bb1907,DCE,bb1907,胶合板1907,bb
762,b1907,DCE,b1907,黄大豆2号1907,b
776,a2001,DCE,a2001,黄大豆1号2001,a
947,ZC907,CZCE,ZC907,动力煤ZC907,Z
962,WH907,CZCE,WH907,强筋麦907,W
970,TA907,CZCE,TA907,化纤907,T
985,SR911,CZCE,SR911,白砂糖911,S
1967,RS907,CZCE,RS907,油菜籽907,R
1989,PM907,CZCE,PM907,普通小麦907,P
1997,OI907,CZCE,OI907,菜籽油907,O
2005,MA907,CZCE,MA907,甲醇MA907,M
2020,LR907,CZCE,LR907,晚籼稻907,L
2028,JR907,CZCE,JR907,粳稻907,J
2054,FG907,CZCE,FG907,玻璃907,F
2069,CY907,CZCE,CY907,棉纱907,C
2092,AP907,CZCE,AP907,苹果907,A
2101,TF1903,CFFEX,TF1903,5年国债1903,TF
2109,IH1903,CFFEX,IH1903,上证50股指1903,IH
2115,IF1903,CFFEX,IF1903,沪深300股指1903,IF
2121,IC1903,CFFEX,IC1903,中证500股指1903,IC
